url,counter
news.21cn.com/social/daqian/2008/05/29/4777194_1.shtml,135
news.21cn.com/zhuanti/domestic/08dizhen/2008/05/19/4733406.shtml,113
www.tudou.com/programs/view/2F3E6SGHFLA,80
www.17tech.com/news/20080531107270.shtml,69
pic.news.mop.com/gs/2008/0528/12985.shtml,66
www.17tech.com/news/20080531107274.shtml,52
bjyouth.ynet.com/view.jsp?oid=40472396,48
www.big38.net,43
zhidao.baidu.com/question/3143932,35
www.baidu.com,26
zhidao.baidu.com/question/47218514,24
v.sohu.com/20070205/n248043827.shtml,23
ks.cn.yahoo.com/question/1406080806718.html,20
www.17tech.com/news/2008041922785.shtml,20
www.360doc.com/showWeb/0/0/1269489.aspx,18
www.97sese.com,17
news.qq.com/a/20060425,17
www.xmnn.cn/zt/slst/zxxx/200805/t20080531_581644.htm,15
ent.163.com/08/0527/23/4D047T3E00032NOP.html,14
news.vnet.cn/photo/292_6.html,14
bbs.guilinlife.com/dispbbs.asp?boardID=36&ID=292630&page=1,14
www.selfpp.com,13
mp3.baidu.com,13
you.video.sina.com.cn/b/1084004-1261359184.html,13
www.99wyt.com,12
violar.blog.sohu.com/87553501.html,12
club.cqvip.com/topic.asp?k=13,10,0,194069,11
news.sohu.com/03/32/news146983203.shtml,11
v.youku.com/v_show/id_ca00XMTk4MTc2NA==.html,10
www.9tour.cn/Wiki_Map/City3119/40815/1,10
bbs.tiexue.net/post2_2788287_1.html,9
zhidao.baidu.com/question/46643385,9
www.iciba.com,9
bbs.cqzg.cn/thread-633534-1-1.html,9
news.qq.com/a/20080513/002018.htm,9
ent.sina.com.cn/m/2006-04-01/ba1035054.shtml,9
ent.sina.com.cn/m/f/2006-07-14/11301157891.html,9
www.gamebank.tv/dv_rss.asp?s=xhtml&boardid=184&id=56629&page=1&star=1&count=1,8
ent.sina.com.cn/m/f/p/2006-03-30/08431032387.html,8
iask.sina.com.cn/b/11162555.html,8
www.xiaoshuoku.com.cn/sub_list/5112.html,8
home.focus.cn/group/class_photos_more.php?class_id=46,8
www.ha7.org,8
www.cg58.com/Article_Show.asp?ArticleID=9633,8
www.tudou.com/programs/view/cZMRnhWcGtw,8
ent.qq.com/a/20060214/000136.htm,8
you.video.sina.com.cn/b/148069-1251551790.html,8
ent.qq.com/a/20060307/000168.htm,8
www.51dy.com,8
www.cemsg.com/map,7
97sese.com,7
www.22cccsese.cn,7
ks.cn.yahoo.com/question/1406102317462.html,7
bt2.19va.com,7
wenwen.soso.com/z/q63312166.htm,7
67.19.64.251/articleinfo.php?id=21820,7
www.4399.com,7
www.adjsq.com,7
zhidao.baidu.com/question/26522259,6
www.youku.com/playlist_show/id_358659.html,6
zhidao.baidu.com/question/28998675.html?si=1,6
down183.zxxk.com/Channel_22/GaoKaoList.asp?ChannelID=19&ClassID=71&page=3,6
zhidao.baidu.com/question/2668229.html?fr=qrl3,6
n.auxiao77.com/bbs/forumdisplay.php?fid=7,6
ks.cn.yahoo.com/question/1406090208828.html,6
site.baidu.com,6
www.taobao.com,6
bbs.cdqss.com/thread-59453-1-1.html,6
www.aodun.com.cn,6
zhidao.baidu.com/question/36885393,6
www.tianya.cn/new/publicforum/Content.asp?strItem=worldlook&flag=1&idArticle=111617,6
blog.sina.com.cn/s/blog_4fc5ce7001008lk1.html,6
news.xinhuanet.com/health/2005-02/01/content_2535154.htm,5
www.xici.net/b298531/d34591109.htm,5
bbs.jconline.cn/cgi-bin/printpage.cgi?forum=17&topic=22597,5
tv.sohu.com/20080521/n256979828.shtml,5
life.21cn.com/star/mirror/lm/file/2001-05-29/389934.html,5
207.218.201.99,5
news.online.sh.cn/news/gb/content/2007-07/04/content_2004066.htm,5
guba.eastmoney.com/600868,1052287,guba.html,5
iask.baby.sina.com.cn/b/5075762.html?from=related,5
www.youku.com,5
www.duzai.com,5
www.wfggw.com,5
www.zhitianshi.com/mingxing/20071006/2630.html,5
www.17tech.com/plus/feedback.php?arcID=75390,5
www.51.com,5
www.hisuppliers.com/sou-2-???????3\xa6\xcc-0-0.html,5
www.tom365.com,5
www.luyi61.net/yyrj/ShowClass.asp?ClassID=16,5
www.jyjj.gov.cn,5
www.2caomei.com,5
www.ccppg.com.cn/bbs/thread-773466-1-1.html,5
www.138job.com,5
v.youku.com/v_show/id_ce00XMjQyOTg0.html,5
www.zhcw.com/lottery/3d_table_1.htm,5
skype.tom.com,5
ks.cn.yahoo.com/question/1406080107738.html,5
www.google.com,5
11sss.com,5
member.giga.net.tw/chcbb0526/5778,4
club.friends.oeeee.com/bin/contentF.asp?aid=1023,,5860187,2,4
zhidao.baidu.com/question/37186631.html,4
www.mipang.com/places/9032/map,4
hot.vagaa.com,4
blog.sina.com.cn/s/blog_4ade4d3f010006jn.html,4
www.yue365.com/bang,4
v.youku.com/v_show/id_ca00XMzI0MDc3Ng==.html,4
www.guger.net/post/550.html,4
news.xinhuanet.com/tw/2008-03/22/content_7839364.htm,4
xwsy.wanjie.net,4
www.184se.com,4
www.136136.com/LB5000/CGI-BIN/topic.cgi?forum=7&topic=786&changemode=1,4
www.qire.com/mainland/fendou,4
sports.163.com/07/0419/08/3CE6OC2C00051KMG.html,4
book.sina.com.cn/nzt/his/tangshandizhen/index.shtml,4
www.nokia.com.cn,4
forum.5721.net/forum-40-1.html,4
www.douban.com/note/11761014,4
blog.readnovel.com/article/htm/tid_227349.html,4
tl.sohu.com,4
www.33bbb.com,4
auto.sina.com.cn,4
gzdsb.gog.com.cn/system/2008/04/02/010246443.shtml,4
www.china-training.com,4
blog.oeeee.com/884818/archive/2008/05/09/403734.html,4
ent.163.com/06/1216/10/32F6E73K00031H2L.html,4
www.qqq500.com/showtopic-8949.aspx,4
zhidao.baidu.com/question/44347870,4
www.xunlei.com,4
zhangxiaoyu52.blog.sohu.com/77308688.html,4
bbs.ylmf.com/read.php?tid=664373&page=e&fpage=1,4
www.news365.com.cn/wxpd/sp/dskp/200805/t20080531_1892853.htm,4
3.4c5k.com,4
www.chinafloor.cn/agent/index.asp,4
www.xmnn.cn/zt/slst/zxxx/200805/t20080531_581662.htm,4
www.sg120.com,4
www.cg58.com/Article_Show.asp?ArticleID=10891&ArticlePage=6,4
www.91mmw.com,4
gb.cri.cn/9964/2006/03/28/1326@966942.htm,4
www.sohu.com,4
ent.sina.com.cn/s/2006-04-01/13531034974.html,4
dzh2.mop.com/topic/readQues_7063355_0_0.html,4
zhidao.baidu.com/question/17346053.html,4
www.yoyohz.com,4
www.fiatclub.net/bbs/dispbbs.asp?boardid=18&id=55201,4
book.sina.com.cn/excerpt/eduhissz/2005-11-14/1836192587.shtml,4
www.538538.com,4
www.gtyz.net,4
news.qq.com/a/20051124/001839_1.htm,4
www.56.com,4
china.nba.com,4
ks.cn.yahoo.com/question/1306100614273.html,4
www.17tech.com/news/20080531107631.shtml,4
www.tudoutv.com,4
www.jqgay.cn,4
www.jjzy.cn/bbs/read.php?tid=12620&fpage=3&toread=&page=3,3
bbs.zh5000.com/bbs/2008-02-03/172139260.html,3
wenwen.soso.com/z/q4128174.htm,3
brand.icxo.com/htmlnews/2008/05/30/1283670.htm,3
ent.sina.com.cn/f/m/binstinct2/index.shtml,3
www.xiaoshuo.com/readbook/0011014871_24664.html,3
www.9aiyy.com/html/pic/yz/25460,3
aion.17173.com,3
bar.sina.com.cn/thread.php?tid=2150930002&bid=1934,3
www.hdyzzj.com/bbs/viewthread.php?tid=22812&extra=page%3D1,3
www.11aaa.com,3
www.fs2you.com/zh-cn/files/bcb1dc30-e25f-11dc-baee-0014221f4662,3
www.tudou.com,3
wencai100.blog.sohu.com/84352080.html,3
www.pc138.cn/html/ruanjianxiazai/20070127/842.html,3
www.jiaxing.gov.cn/attach/2/050820152946828.xls,3
www.qq163.com/song/5599/75924.htm,3
www.xici.net/b103826/d71296674.htm,3
www.gjjy.com/shuangyu,3
www.us32.cn,3
www.lhctop.cn/feizhuliu/3956.html,3
news.sohu.com/20070312/n248665605.shtml,3
www.bmla.org.cn,3
book.4yt.net/writer/L/205/1400,3
www.51amo.cn,3
www.miboys.com/html/7/7-4407.html,3
networkyou.blog.china.com/200804/2472348.html,3
bbs.tiexue.net/post2_2349138_1.html,3
bar.stockstar.com/post.asp?id=95645,3
www.yahoo.com.cn,3
bbs.ynet.com/viewthread.php?tid=245312,3
blog.sina.com.cn/s/blog_4fcd640a01008hpu.html,3
www.11sss11sss11sss.com.cn,3
mt.huzhai.com,3
auto.sohu.com/s2005/qcydt.shtml,3
www.csi.ac.cn/yxy/zhenli/zhenli6.htm,3
www.cg58.com/Article_Show.asp?ArticleID=10123&ArticlePage=2,3
a.se2222.com/Html/qbook/1276720.html,3
cn.pg.photos.yahoo.com/04100228103/8291,3
www.youkuw.com,3
www.icbc.com.cn,3
kankan.xunlei.com,3
www.csc.edu.cn,3
qiutiyinger.blog.sohu.com,3
sports.163.com/07/0414/14/3C2146R600051CA1.html,3
bj.sina.com.cn/h/2007-01-08/0945119408.shtml,3
a.se2222.com/Html/OPIC/index.html,3
hi.baidu.com/coseve/blog/item/aafc17b1afa4fe57092302bb.html,3
ks.cn.yahoo.com/question/1406120803100.html,3
www.canyin.com,3
ent.163.com/08/0527/11/4CUPSRER00032NOP.html,3
www.tianshannet.com.cn/big5/content/2007-06/19/content_1994070.htm,3
www.chinajiehun.com/Show_News.asp?ID=9721,3
